Date time, Open, High, Low, Close, MA9, MA26, MA52, MA104, RSI
2021.08.30 00:00:00,1.37583000,1.37748000,1.37337000,1.37561000,1.37145778,1.38146885,1.38182981,1.39126894,47.39614080
2021.08.31 00:00:00,1.37560000,1.38076000,1.37427000,1.37540000,1.37146778,1.38122654,1.38174923,1.39128519,47.14845488
2021.09.01 00:00:00,1.37530000,1.37975000,1.37310000,1.37679000,1.37297111,1.38080615,1.38143250,1.39131923,48.54542017
2021.09.02 00:00:00,1.37679000,1.38393000,1.37655000,1.38315000,1.37529111,1.38054231,1.38121250,1.39144337,54.21534679
2021.09.03 00:00:00,1.38322000,1.38914000,1.38177000,1.38578000,1.37680000,1.38014692,1.38101615,1.39155788,56.32894731
2021.09.06 00:00:00,1.38584000,1.38670000,1.38183000,1.38342000,1.37798667,1.37986769,1.38084808,1.39163817,53.63778757
2021.09.07 00:00:00,1.38320000,1.38565000,1.37675000,1.37838000,1.37821667,1.37948077,1.38066038,1.39164442,48.92486438
2021.09.08 00:00:00,1.37826000,1.37902000,1.37261000,1.37710000,1.37903111,1.37893269,1.38044904,1.39163298,47.84407149
2021.09.09 00:00:00,1.37708000,1.38624000,1.37530000,1.38354000,1.37990778,1.37873115,1.38044962,1.39162817,53.79832489
2021.09.10 00:00:00,1.38349000,1.38882000,1.38254000,1.38296000,1.38072444,1.37835077,1.38045115,1.39147913,54.14769260
2021.09.13 00:00:00,1.38391000,1.38509000,1.37965000,1.38388000,1.38166667,1.37821692,1.38060019,1.39138462,53.89870266
2021.09.14 00:00:00,1.38369000,1.39129000,1.38032000,1.38074000,1.38210556,1.37807308,1.38055365,1.39126952,50.58075984
2021.09.15 00:00:00,1.38065000,1.38530000,1.37920000,1.38407000,1.38220778,1.37809038,1.38054750,1.39127202,53.81782107
2021.09.16 00:00:00,1.38390000,1.38522000,1.37640000,1.37938000,1.38149667,1.37782577,1.38053962,1.39118490,48.75971373
2021.09.17 00:00:00,1.37916000,1.38125000,1.37267000,1.37272000,1.38030778,1.37752654,1.38040135,1.39102058,44.53773360
2021.09.20 00:00:00,1.37420000,1.37498000,1.36406000,1.36572000,1.37890111,1.37671038,1.38015519,1.39077683,37.65301556
2021.09.21 00:00:00,1.36578000,1.36927000,1.36410000,1.36585000,1.37765111,1.37601385,1.37969192,1.39051279,37.77396174
